"PreSens Measurement Studio 2","4.0.0.2353",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"03/04/2024","16:47:12","8","default","133457605","OXY-8","0.000","min","183.535","μmol/L","Humid","20.855","deg","119635","µV","28.891","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329826.96","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:13","8","default","133457605","OXY-8","0.016","min","183.456","μmol/L","Humid","20.857","deg","119615","µV","28.898","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329743.75","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:14","8","default","133457605","OXY-8","0.032","min","183.404","μmol/L","Humid","20.856","deg","119601","µV","28.910","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329702.49","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:15","8","default","133457605","OXY-8","0.049","min","183.312","μmol/L","Humid","20.860","deg","119593","µV","28.914","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329677.08","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:16","8","default","133457605","OXY-8","0.066","min","183.421","μmol/L","Humid","20.856","deg","119578","µV","28.907","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329650.60","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:17","8","default","133457605","OXY-8","0.083","min","183.439","μmol/L","Humid","20.856","deg","119580","µV","28.904","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329641.82","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:18","8","default","133457605","OXY-8","0.099","min","183.437","μmol/L","Humid","20.859","deg","119574","µV","28.895","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329627.41","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:19","8","default","133457605","OXY-8","0.116","min","183.324","μmol/L","Humid","20.863","deg","119583","µV","28.903","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329633.20","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:20","8","default","133457605","OXY-8","0.133","min","183.360","μmol/L","Humid","20.863","deg","119582","µV","28.897","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329623.47","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:21","8","default","133457605","OXY-8","0.149","min","183.379","μmol/L","Humid","20.862","deg","119581","µV","28.896","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329609.75","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:22","8","default","133457605","OXY-8","0.166","min","183.427","μmol/L","Humid","20.863","deg","119581","µV","28.885","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329612.25","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:23","8","default","133457605","OXY-8","0.183","min","183.340","μmol/L","Humid","20.865","deg","119578","µV","28.894","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329613.52","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:24","8","default","133457605","OXY-8","0.199","min","183.365","μmol/L","Humid","20.865","deg","119577","µV","28.890","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329600.76","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:25","8","default","133457605","OXY-8","0.216","min","183.316","μmol/L","Humid","20.869","deg","119575","µV","28.887","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329596.47","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:26","8","default","133457605","OXY-8","0.232","min","183.343","μmol/L","Humid","20.869","deg","119590","µV","28.882","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329600.71","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:27","8","default","133457605","OXY-8","0.249","min","183.274","μmol/L","Humid","20.867","deg","119581","µV","28.900","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329591.79","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:28","8","default","133457605","OXY-8","0.266","min","183.232","μmol/L","Humid","20.868","deg","119574","µV","28.904","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329583.27","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:29","8","default","133457605","OXY-8","0.282","min","183.149","μmol/L","Humid","20.870","deg","119585","µV","28.912","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329577.80","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:30","8","default","133457605","OXY-8","0.299","min","183.180","μmol/L","Humid","20.870","deg","119583","µV","28.907","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329571.25","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
"03/04/2024","16:47:31","8","default","133457605","OXY-8","0.316","min","183.196","μmol/L","Humid","20.871","deg","119574","µV","28.901","°C","1012.000","hPa","36.0","pmil","0","51.153","deg","27.300","°C","100.000","%a.s.","20.505","deg","27.300","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","22.75","0","95.00","329572.46","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","000000-000","3/4/2024 3:05:21 PM","0000-00","0","no battery","V","287505","µV","120204","µV"
