Run,Light_Level,Light_Value,Date,Start.time,Stop.time
2,21_560,0,20240305,13:15,13:30
2,21_0,1,20240305,13:30,13:45
2,ramp1,2,20240305,13:45,14:07
2,24_560,3,20240305,14:07,14:22
2,24_0,4,20240305,14:22,14:37
2,ramp2,5,20240305,14:37,15:10
2,28_560,6,20240305,15:10,15:25
2,28_0,7,20240305,15:25,15:40
2,ramp3,8,20240305,15:40,16:00
2,30_560,9,20240305,16:00,16:15
2,30_0,10,20240305,16:15,16:30
2,ramp4,11,20240305,16:30,16:50
2,32_560,12,20240305,16:50,17:05
2,32_0,13,20240305,17:05,17:20
2,ramp5,14,20240305,17:20,17:40
2,35_560,15,20240305,17:40,17:55
2,35_0,16,20240305,17:55,18:10
2,ramp6,17,20240305,18:10,18:35
2,38_560,18,20240305,18:35,18:50
2,38_0,19,20240305,18:50,19:05
2,ramp7,20,20240305,19:05,19:25
2,40_560,21,20240305,19:25,19:40
2,40_0,22,20240305,19:40,19:55
