gene_id,Pverr_006,Pverr_007,Pverr_008,Pverr_009,Pverr_106,Pverr_107,Pverr_108,Pverr_109,Pverr_110,Pverr_111,Pverr_112,Pverr_113
Pver_gene_g289,57,134,126,98,59,101,12,150,72,58,0,82
Pver_gene_g288,28,23,34,49,231,136,50,357,82,195,173,101
Pver_gene_g21188,0,0,0,0,0,0,0,0,0,0,0,0
Pver_gene_g285,10,10,8,11,189,83,34,92,73,83,201,104
Pver_gene_g284,0,0,0,0,45,32,0,13,31,0,19,19
Pver_gene_g287,64,78,80,84,23,36,20,77,84,13,29,34
Pver_gene_g286,0,0,0,0,30,54,0,28,14,45,17,30
Pver_gene_g281,37,73,68,68,51,53,25,32,32,39,56,28
Pver_gene_g280,26,26,51,10,14,6,0,16,44,0,48,16
Pver_gene_g283,0,18,21,0,56,61,23,49,22,78,119,68
Pver_gene_g282,24,67,78,44,44,48,27,41,33,40,17,32
Pver_gene_g11072,0,0,0,0,0,6,0,13,12,0,47,10
Pver_gene_g21180,0,0,0,0,0,0,0,0,0,0,0,0
Pver_gene_g11070,0,0,0,0,341,587,85,862,267,631,712,546
Pver_gene_g137,5,20,14,28,0,0,0,9,25,0,0,0
Pver_gene_g136,76,167,122,117,208,187,44,234,75,286,143,257
Pver_gene_g135,56,99,99,141,15,4,0,0,7,7,0,7
Pver_gene_g134,4,53,53,34,61,62,18,139,35,96,40,64
Pver_gene_g133,0,37,38,34,42,32,17,23,21,23,58,28
Pver_gene_g132,55,89,61,53,975,544,208,1066,295,865,705,568
Pver_gene_g131,26,50,80,52,10,30,8,35,59,24,0,32
Pver_gene_g130,0,12,0,0,0,0,0,0,10,9,0,0
Pver_gene_g11076,0,22,31,23,125,53,26,152,45,86,137,66
Pver_gene_g139,189,123,124,73,166,196,136,263,140,174,158,131
Pver_gene_g138,163,138,125,96,182,141,46,193,146,158,148,174
Pver_gene_g11074,0,0,0,0,0,0,0,0,0,0,0,0
Pver_gene_g21186,0,0,0,0,0,0,0,0,0,0,0,0
Pver_gene_novel_gene_418_5de57afd,0,0,0,0,45,52,32,65,8,45,75,24
Pver_gene_novel_gene_39_5de57afd,0,0,0,0,10,0,5,7,18,15,3,0
Pver_gene_novel_gene_203_5de57afd,0,0,0,0,9,35,4,36,6,14,0,12
Pver_gene_novel_gene_130_5de57afd,0,0,0,0,0,0,0,0,0,0,0,0
Pver_gene_g3376,153,195,239,129,57,31,0,66,22,29,36,38
Pver_gene_g3375,339,591,572,500,6531,3824,1574,6526,1580,4719,5740,4119
Pver_gene_g3374,0,0,0,0,17,0,0,0,0,0,0,11
Pver_gene_g3373,101,74,93,76,0,126,6,137,18,104,63,81
Pver_gene_g3372,0,0,0,0,0,0,0,0,0,0,0,0
Pver_gene_g3371,0,0,0,0,0,0,0,10,0,0,0,0
