"","Pverr_006","Pverr_007","Pverr_008","Pverr_009","Pverr_106","Pverr_108","Pverr_110","Pverr_112"
"Pver_gene_g288",28,23,34,49,231,50,82,173
"Pver_gene_g285",10,10,8,11,189,34,73,201
"Pver_gene_g11070",0,0,0,0,341,85,267,712
"Pver_gene_g135",56,99,99,141,15,0,7,0
"Pver_gene_g132",55,89,61,53,975,208,295,705
"Pver_gene_g11076",0,22,31,23,125,26,45,137
"Pver_gene_g3376",153,195,239,129,57,0,22,36
"Pver_gene_g3375",339,591,572,500,6531,1574,1580,5740
"Pver_gene_g3379",18,55,30,31,230,62,97,223
"Pver_gene_g7874",0,0,0,0,346,190,349,483
"Pver_gene_g7875",0,0,0,0,365,162,231,519
"Pver_gene_g7876",0,0,0,0,167,206,298,240
"Pver_gene_g7877",0,0,0,0,1174,304,434,1679
"Pver_gene_g7870",0,0,70,0,5180,2364,3266,8616
"Pver_gene_g7871",0,0,0,0,139,45,116,317
"Pver_gene_g7872",0,0,0,0,347,79,120,406
"Pver_gene_g7873",0,0,0,0,1091,467,650,1797
"Pver_gene_g7878",24,46,33,42,243,182,227,325
"Pver_gene_g7879",48,89,40,75,334,87,119,232
"Pver_gene_g6471",0,0,0,0,44,29,13,59
"Pver_gene_g1268",0,8,0,0,111,49,85,104
"Pver_gene_g1267",0,0,136,16,13948,2015,3760,14903
"Pver_gene_g1260",0,0,0,0,36,13,49,97
"Pver_gene_g4728",79,165,132,162,554,125,283,498
"Pver_gene_g2183",0,0,0,0,134,56,50,98
"Pver_gene_g86",0,0,0,0,147,32,120,251
"Pver_gene_g12535",8,0,0,0,1892,477,687,2090
"Pver_gene_g12533",27,29,41,21,61,22,77,148
"Pver_gene_g10866",0,0,0,0,104,85,146,163
"Pver_gene_g14193",0,12,0,4,67,21,21,80
"Pver_gene_g11115",0,0,0,0,41,25,93,27
"Pver_gene_g10245",103,193,177,125,37,5,38,43
"Pver_gene_g10243",0,46,39,0,837,184,311,961
"Pver_gene_g10240",144,240,189,146,121,11,65,109
"Pver_gene_g10249",0,0,0,0,221,23,107,154
"Pver_gene_g19612",413,354,382,304,355,70,131,192
"Pver_gene_g15744",0,0,0,0,34,13,20,90
"Pver_gene_g15747",751,696,1020,795,258,119,128,228
"Pver_gene_g15743",46,25,76,38,34,4,13,16
"Pver_gene_g15748",93,85,140,92,43,5,37,51
"Pver_gene_g14269",269,262,405,208,293,33,149,200
"Pver_gene_g3377",219,208,196,135,84,27,65,57
"Pver_gene_g9067",12,4,21,0,442,109,199,365
"Pver_gene_g9061",41,37,64,45,70,44,69,109
"Pver_gene_g9060",0,0,0,0,201,97,72,205
"Pver_gene_g9063",99,104,137,72,245,90,228,223
"Pver_gene_g9062",0,10,0,0,157,38,49,149
"Pver_gene_g4955",0,0,0,0,59,24,40,57
"Pver_gene_g9069",0,0,0,0,27,11,12,30
"Pver_gene_g9068",128,102,127,53,57,19,36,34
"Pver_gene_g8918",0,20,0,0,153,41,77,147
"Pver_gene_g18270",184,213,241,198,16,0,44,18
"Pver_gene_g3653",51,92,59,81,139,103,98,188
"Pver_gene_g3655",0,0,0,0,980,353,518,1356
"Pver_gene_g3657",0,0,0,0,120,27,52,226
"Pver_gene_g3658",0,0,0,0,280,74,75,337
"Pver_gene_g22984",0,0,0,0,361,35,114,580
"Pver_gene_g22985",0,0,0,0,96,20,22,155
"Pver_gene_g4026",0,85,85,63,383,75,261,519
"Pver_gene_g4027",82,123,115,33,65,12,25,16
"Pver_gene_g4028",169,285,214,203,1039,305,317,1057
"Pver_gene_g4029",253,311,477,303,252,80,168,226
"Pver_gene_g1653",0,14,0,0,100,16,54,64
"Pver_gene_g4688",618,640,677,427,92,63,69,154
"Pver_gene_g4972",53,38,65,38,397,44,87,328
"Pver_gene_g4973",293,342,289,190,65,0,55,52
"Pver_gene_g4974",109,193,173,110,67,33,77,99
"Pver_gene_g4975",72,53,80,60,181,88,281,278
"Pver_gene_g4977",38,41,18,40,177,42,86,266
"Pver_gene_g4979",797,1327,2144,1514,313,100,156,318
"Pver_gene_g5089",641,580,853,538,154,15,60,50
"Pver_gene_g5088",0,43,26,23,205,46,99,228
"Pver_gene_g5082",195,258,237,103,410,138,298,312
"Pver_gene_g5080",423,342,332,206,234,106,100,188
"Pver_gene_g5085",80,54,66,39,336,58,139,337
"Pver_gene_g8490",4722,5530,7866,5591,0,0,0,0
"Pver_gene_g16544",129,206,216,126,148,25,88,158
"Pver_gene_g16548",184,294,343,231,2093,390,876,1954
"Pver_gene_g2533",0,0,0,0,21,18,64,36
"Pver_gene_g2530",0,44,211,27,11601,3138,4050,12393
"Pver_gene_g2535",0,0,0,0,14,47,63,77
"Pver_gene_g414",0,0,36,0,6395,1419,2514,6933
"Pver_gene_g415",0,0,0,0,47,17,54,68
"Pver_gene_g416",43,0,38,31,117,153,109,143
"Pver_gene_g417",22,27,45,26,92,72,149,25
"Pver_gene_g412",33,25,0,25,148,62,71,116
"Pver_gene_g11094",0,13,0,13,210,41,110,125
"Pver_gene_g6915",0,0,31,0,301,82,205,270
"Pver_gene_g12674",50,38,42,55,222,86,250,259
"Pver_gene_g14789",0,0,0,0,88,157,66,71
"Pver_gene_g16045",0,0,0,0,133,14,139,233
"Pver_gene_g11324",95,60,64,30,39,8,16,58
"Pver_gene_g11322",147,176,390,214,68,18,55,89
"Pver_novel_gene_268_5de57afd",210,93,185,87,37,10,6,7
"Pver_gene_g13786",271,282,373,300,272,86,177,371
