"","Species","colony_id","avg_temp_interval","Temperature","Light","Run","micromol.cm2.s","micromol.cm2.h","Stage","PAR","Pc"
"1","P. grandis","POG-150",17.2181729166667,"17","0",4,-5.82649033605884e-05,-0.209753652098118,"Adult",0,-5.82649033605884e-05
"2","P. grandis","POG-150",17.1466735294118,"17","560",4,3.34467233431278e-05,0.12040820403526,"Adult",560,3.34467233431278e-05
"3","P. grandis","POG-150",21.1110011111111,"21","0",4,-7.62246428375319e-05,-0.274408714215115,"Adult",0,-7.62246428375319e-05
"4","P. grandis","POG-150",21.1441411111111,"21","560",4,4.20954399685633e-05,0.151543583886828,"Adult",560,4.20954399685633e-05
"5","P. grandis","POG-150",24.0962444444444,"24","0",4,-9.80727225991847e-05,-0.353061801357065,"Adult",0,-9.80727225991847e-05
"6","P. grandis","POG-150",24.3917655555556,"24","560",4,5.32484280448543e-05,0.191694340961475,"Adult",560,5.32484280448543e-05
"7","P. grandis","POG-150",27.9631288888889,"28","0",4,-0.000132528564134599,-0.477102830884558,"Adult",0,-0.000132528564134599
"8","P. grandis","POG-150",28.2408022222222,"28","560",4,3.72387103055865e-05,0.134059357100111,"Adult",560,3.72387103055865e-05
"9","P. grandis","POG-150",29.6500488888889,"30","0",4,-0.000143398537935854,-0.516234736569076,"Adult",0,-0.000143398537935854
"10","P. grandis","POG-150",30.0058892156863,"30","560",4,2.44789697103518e-05,0.0881242909572663,"Adult",560,2.44789697103518e-05
"11","P. grandis","POG-150",31.7919955555556,"32","0",4,-0.000104123906901186,-0.374846064844268,"Adult",0,-0.000104123906901186
"12","P. grandis","POG-150",34.5948977777778,"35","0",4,-0.000144372143347841,-0.519739716052228,"Adult",0,-0.000144372143347841
"13","P. grandis","POG-150",34.7095233333333,"35","560",4,-2.21231846796014e-05,-0.079643464846565,"Adult",560,-2.21231846796014e-05
"14","P. grandis","POG-150",37.6979855555556,"38","0",4,-8.83654687331394e-05,-0.318115687439302,"Adult",0,-8.83654687331394e-05
"15","P. grandis","POG-150",37.7924088888889,"38","560",4,-5.14055836729542e-05,-0.185060101222635,"Adult",560,-5.14055836729542e-05
"16","P. grandis","POG-150",39.6896266666667,"40","0",4,-8.13502542819324e-05,-0.292860915414957,"Adult",0,-8.13502542819324e-05
"17","P. grandis","POG-150",39.8375044444444,"40","560",4,-8.15629826678957e-05,-0.293626737604425,"Adult",560,-8.15629826678957e-05
"18","P. grandis","POG-151",17.55775,"17","0",3,-6.16447736014721e-05,-0.221921184965299,"Adult",0,-6.16447736014721e-05
"19","P. grandis","POG-151",17.5678744444444,"17","560",3,8.21346841250607e-05,0.295684862850218,"Adult",560,8.21346841250607e-05
"20","P. grandis","POG-151",21.36412,"21","0",3,-8.93304702709609e-05,-0.321589692975459,"Adult",0,-8.93304702709609e-05
"21","P. grandis","POG-151",21.7099072916667,"21","560",3,0.00013518120201465,0.486652327252739,"Adult",560,0.00013518120201465
"22","P. grandis","POG-151",24.0403077777778,"24","0",3,-0.000108840887819227,-0.391827196149218,"Adult",0,-0.000108840887819227
"23","P. grandis","POG-151",24.3676083333333,"24","560",3,0.000150166865750486,0.540600716701748,"Adult",560,0.000150166865750486
"24","P. grandis","POG-151",27.9668166666667,"28","0",3,-0.000143946516835631,-0.518207460608273,"Adult",0,-0.000143946516835631
"25","P. grandis","POG-151",28.0424277777778,"28","560",3,0.000140970986050552,0.507495549781988,"Adult",560,0.000140970986050552
"26","P. grandis","POG-151",29.9826912751678,"30","0",3,-0.000141677647395365,-0.510039530623314,"Adult",0,-0.000141677647395365
"27","P. grandis","POG-151",30.2535104166667,"30","560",3,0.000143670890611748,0.517215206202293,"Adult",560,0.000143670890611748
"28","P. grandis","POG-151",31.8265355555556,"32","0",3,-0.000175755828316765,-0.632720981940355,"Adult",0,-0.000175755828316765
"29","P. grandis","POG-151",32.0620255555556,"32","560",3,0.000137338457900844,0.494418448443039,"Adult",560,0.000137338457900844
"30","P. grandis","POG-151",34.7281239583333,"35","0",3,-0.000164213246616331,-0.591167687818791,"Adult",0,-0.000164213246616331
"31","P. grandis","POG-151",35.0351233333333,"35","560",3,8.02558156992948e-05,0.288920936517461,"Adult",560,8.02558156992948e-05
"32","P. grandis","POG-151",37.5584022222222,"38","0",3,-0.000120611827389701,-0.434202578602923,"Adult",0,-0.000120611827389701
"33","P. grandis","POG-151",37.8122388888889,"38","560",3,-7.18259799274276e-05,-0.258573527738739,"Adult",560,-7.18259799274276e-05
"34","P. grandis","POG-151",39.2450722222222,"40","0",3,-9.70687000275491e-05,-0.349447320099177,"Adult",0,-9.70687000275491e-05
"35","P. grandis","POG-151",39.7591844444444,"40","560",3,-8.40522289044745e-05,-0.302588024056108,"Adult",560,-8.40522289044745e-05
"36","P. grandis","POG-156",21.38386,"21","0",2,-9.31522399265116e-05,-0.335348063735442,"Adult",0,-9.31522399265116e-05
"37","P. grandis","POG-156",21.2060666666667,"21","560",2,0.000128738173151517,0.463457423345461,"Adult",560,0.000128738173151517
"38","P. grandis","POG-156",23.7468888888889,"24","0",2,-0.000107598568114562,-0.387354845212424,"Adult",0,-0.000107598568114562
"39","P. grandis","POG-156",23.9039711111111,"24","560",2,0.000131955637732261,0.475040295836141,"Adult",560,0.000131955637732261
"40","P. grandis","POG-156",27.64136,"28","0",2,-0.000142622065617746,-0.513439436223887,"Adult",0,-0.000142622065617746
"41","P. grandis","POG-156",27.6939277777778,"28","560",2,0.000120724504185311,0.434608215067119,"Adult",560,0.000120724504185311
"42","P. grandis","POG-156",29.7525611111111,"30","0",2,-0.000153318471036098,-0.551946495729954,"Adult",0,-0.000153318471036098
"43","P. grandis","POG-156",30.0013877777778,"30","560",2,0.000127777779511921,0.460000006242914,"Adult",560,0.000127777779511921
"44","P. grandis","POG-156",31.5769188888889,"32","0",2,-0.000180485331200686,-0.649747192322471,"Adult",0,-0.000180485331200686
"45","P. grandis","POG-156",31.7963866666667,"32","560",2,0.000121934142406622,0.438962912663841,"Adult",560,0.000121934142406622
"46","P. grandis","POG-156",34.7744866666667,"35","0",2,-0.000182466769421573,-0.656880369917662,"Adult",0,-0.000182466769421573
"47","P. grandis","POG-156",34.73554,"35","560",2,3.34686743338383e-05,0.120487227601818,"Adult",560,3.34686743338383e-05
"48","P. grandis","POG-156",37.7319933333333,"38","0",2,-9.34835646049225e-05,-0.336540832577721,"Adult",0,-9.34835646049225e-05
"49","P. grandis","POG-156",37.8314288888889,"38","560",2,-1.42136578508624e-06,-0.00511691682631045,"Adult",560,-1.42136578508624e-06
